id;type;question;image_url;option_image_urls;correct_answer

1000000001;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-4.jpg;4
1000000002;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-5.jpg;2
1000000003;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-4.jpg;1
1000000004;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-5.jpg;5
1000000005;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-4.jpg;3
1000000006;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-5.jpg;3
1000000007;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-4.jpg;3
1000000008;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-5.jpg;1
1000000009;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000009/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000009/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000009/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000009/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000009/option-5.jpg;5
