id;context_id;question;options;correct_answer

1000000001;1000000001;چه کسی بالاتر از همه زندگی می کند؟;علی,رضا,حمید;3
1000000002;1000000002;چه کسی هم تنیس و هم شنا را دوست دارد؟;زهرا,فاطمه,زینب,مریم;1
1000000003;1000000002;چه کسی هم شنا و هم دوندگی را دوست دارد؟;زهرا,فاطمه,زینب,مریم;4
1000000004;1000000003;چه کسی کوتاه ترین تعطیلات را دارد؟;آقای احمدی,آقای محمدی,آقای بهرامی,آقای رحمانی;4
1000000005;1000000004;چه کسی به سواحل دریا می رود و همچنین از تعطیلاتش لذت نمی برد؟;رضا,محمود,محمد,سامان,احمد,پیمان;2
1000000006;1000000004;چه کسی بدون استفاده از هواپیما به کوهنوردی رفته است؟;رضا,محمود,محمد,سامان,احمد,پیمان;6
1000000007;1000000005;پس از بازاریابی مذکور کدام تور گردشگری محبوب تر است؟;تهران,مشهد,شیراز,اصفهان;4
1000000008;1000000005;بعد از این بازاریابی، کدام تور گردشگری از بقیه محبوبیت کمتری دارد؟;تهران,مشهد,شیراز,اصفهان;3
1000000009;1000000006;چه کسی ماشین دارد اما معمولا با اتوبوس فرزندش را به مدرسه می رساند؟;فریدون,فرزاد,احمد,فرهاد;2
1000000010;1000000006;چه کسی ماشین ندارد و دختر دارد؟;فریدون,فرزاد,احمد,فرهاد;4
1000000011;1000000007;کدام آثار در پایین ترین طبقه واقع شده اند؟;آثار تجسمی مدرن,آثار نقاشی آبرنگ,سفالگری یونانی,آثار رنگ روغن,مجموعه آثار هنری ایتالیایی,آثار هنری چینی;4
1000000012;1000000007;کدام دو مجموعه در یک طبقه قرار گرفته اند؟;آثار تجسمی مدرن و سفالگری یونانی,آثار نقاشی آبرنگ و نقاشی رنگ روغن,آثار نقاشی رنگ روغن و آثار هنری چینی,هیچ یک از گزینه های بالا;1
1000000013;1000000008;چه کسی می تواند با وسیله نقلیه گازوئیلی خود سه سرنشین را سوار کند؟;نرگس,آوا,نسترن,فرزانه,کیمیا;1
1000000014;1000000008;وسائل نقلیه چند نفر تایرهای خطرناک داشته و از سوخت دیزلی استفاده کرده و فقط برای یک سرنشین دیگر ظرفیت دارند؟;5,4,3,2,1,0;5
1000000015;1000000008;چه کسی می تواند تنها یک سرنشین دیگر سوار کند اما تایرهای باکیفیت و مرغوبی دارد؟;نرگس,آوا,نسترن,فرزانه,کیمیا;3
1000000016;1000000009;کدام یک از گزینه ها، تنها غذایی است که شارون نمی خورد؟;نان,گوشت مرغ,گوشت قرمز,برنج,پنیر;2
1000000017;1000000009;کدام یک از بچه ها پنیر، گوشت مرغ و نان می خورد؟;شادی,کیمیا,امید,سامان;2
1000000018;1000000009;کدام یک پنیر دوست ندارد اما گوشت قرمز و برنج می خورد؟;شادی,کیمیا,امید,سامان;3
1000000019;1000000009;کدام غذا مورد پسند اکثر بچه ها خواهد بود؟;نان,برنج,گوشت قرمز,پنیر,گوشت مرغ;1
1000000020;1000000010;چه کسی صاحب ماشینی است که روکش آبی و نوار نقره ای دارد؟;آقای رفیعی,خانم حسینی,خانم احمدی,آقای موسوی,آقای رحیمی;4
1000000021;1000000010;چه کسی ماشینی با نوار نقره ای و روکش سفید دارد؟;آقای رفیعی,خانم حسینی,خانم احمدی,آقای موسوی,آقای رحیمی;5
1000000022;1000000010;چه کسی ماشین قرمز با نوار و روکش آبی دارد؟;آقای رفیعی,خانم حسینی,خانم احمدی,آقای موسوی,آقای رحیمی;2
1000000023;1000000011;تیم ترکیه چند بازی را برده است؟;1,2,3,4,0;1
1000000024;1000000011;چین چند بازی را برده است؟;1,2,3,4,0;2
1000000025;1000000011;چه کسی قهرمان شده است؟;چین,ترکیه,عراق,ژاپن;3
1000000026;1000000012;چه کسی فقط آبنبات و بستنی دارد؟;سهیل,وحید,حمید,سعید,مجید;4
1000000027;1000000012;چه کسی سه نوع خوراکی شیرین دارد؟;سهیل,وحید,حمید,سعید,مجید;3
1000000028;1000000012;چه کسانی تنها دو نفری هستند که تعداد و نوع خوراکی هایشان مشابه است؟;سهیل و حمید,سهیل و سعید,حمید و سعید,سعید و مجید,مجید و سهیل;5
1000000029;1000000012;جمعا چه تعداد خوراکی توسط این 5 دانش آموز خریداری شده است؟;7,8,9,10,11,12;4
1000000030;1000000013;کت مائده چه رنگی است؟;آبی,سبز,قرمز;1
1000000031;1000000013;ژاکت مریم چه رنگی است؟;آبی,سبز,قرمز;3
1000000032;1000000013;کدام یک از این سه دختر کت سبز دارد؟;مریم,مرجان,مائده;1
1000000033;1000000013;ژاکت کدام دختر آبی است؟;مریم,مرجان,مائده;2
